340,510,420,430,328.12
340,400,360,380,132.26
210,390,290,310,376.13
40,180,100,120,315.17
20,620,300,340,1007.5
120,300,200,220,519.44
560,740,640,660,530.57
120,480,280,320,625.32
250,380,310,320,200.25
270,400,330,340,315.26
220,340,260,300,306.61
120,320,200,240,514.24
210,300,250,260,214.06
480,540,500,520,237.55
520,620,560,580,445.47
520,580,540,560,437.76
20,220,100,140,484.91
160,380,260,280,593.76
280,800,520,560,966.98
340,460,380,420,195.22
480,740,600,620,598.62
330,380,350,360,104.64
270,450,350,370,403.28
210,350,270,290,342.6
560,590,570,580,362.19
520,780,640,660,610.62
520,550,530,540,222.26
140,500,300,340,643.21
340,780,540,580,1055.1
120,720,400,440,843.65
400,760,560,600,725.49
270,420,340,350,379.29
210,550,370,390,599.24
160,260,200,220,315.53
210,320,260,270,404.32
240,540,380,400,539.8
210,600,390,420,570.95
270,380,320,330,242.12
330,480,400,410,219.33
180,240,200,220,211.87
390,540,460,470,357.43
420,760,580,600,613.19
80,420,240,260,804.63
410,540,470,480,379.19
260,380,300,340,218.46
370,540,450,460,487.96
0,260,120,140,708.39
380,740,540,580,889.61
480,590,530,540,332.1
620,740,660,700,418.47
380,440,400,420,124.26
20,460,220,260,949.19
80,680,360,400,964.01
20,240,120,140,596.91
160,500,320,340,682.12
270,490,370,390,409.27
260,440,340,360,406.59
540,640,580,600,362.28
380,580,460,500,395.38
540,600,560,580,345.09
220,480,340,360,567.14
210,430,310,330,431.68
100,160,120,140,217.47
200,540,360,380,677.37
260,410,330,340,355.83
390,480,430,440,277.48
560,780,660,680,611.96
520,700,600,620,513.85
210,470,330,350,614.2
160,420,280,300,539.72
20,200,100,120,417.3
240,380,300,320,242.51
560,620,580,600,366.76
220,740,460,500,785.82
600,740,660,680,491.69
20,700,340,380,1206
260,620,420,460,762.48
400,540,460,480,369.99
440,590,510,520,291.64
240,520,360,400,537.25
220,560,380,400,588.96
330,440,380,390,198.99
160,680,400,440,748.43
380,510,440,450,380.39
440,560,480,520,294.58
480,780,620,640,752.55
260,390,320,330,277.62
220,330,270,280,285.1
370,440,400,410,122.35
20,300,140,180,724.06
480,620,540,560,617.69
460,740,580,620,610.15
370,550,450,470,442.95
40,160,80,120,269.3
260,780,500,540,684.8
480,580,520,540,274.83
330,550,430,450,598.47
540,800,660,680,621.63
640,740,680,700,387
300,520,400,420,341.18
370,590,470,490,422.79
330,590,450,470,542.7
0,220,100,120,510.29
460,590,520,530,275.99
250,550,390,410,493.8
380,600,480,500,404.83
260,460,340,380,421.66
220,370,290,300,332.89
460,560,500,520,281.48
200,380,280,300,393.34
100,540,300,340,776.19
240,330,280,290,210.45
250,590,410,430,525.43
420,540,460,500,326.23
230,330,270,290,241.61
350,520,430,440,477.98
380,640,500,520,415.7
420,520,460,480,274.08
540,680,600,620,448.13
520,640,560,600,433.6
540,660,580,620,396.09
440,620,520,540,355.17
400,520,440,480,317.62
370,460,410,420,159.62
0,780,360,420,1100.6
560,700,620,640,548.73
330,460,390,400,240.21
0,440,200,240,1088.4
580,780,660,700,587.28
20,800,380,440,1073.9
220,580,380,420,548.62
440,580,500,520,297.73
230,370,290,310,290.59
520,660,580,600,454.1
260,600,420,440,696.38
410,550,470,490,337.95
240,370,300,310,258.48
380,530,450,460,436.16
220,440,320,340,499.98
410,590,490,510,357.64
350,480,410,420,211.19
440,780,600,620,683.55
680,740,700,720,66.245
200,560,360,400,654.27
520,720,600,640,569.95
480,700,580,600,557.57
260,700,460,500,704.88
390,560,470,480,417.21
260,400,320,340,310.46
410,580,490,500,369.28
320,540,420,440,519.83
200,330,260,270,467.75
380,720,540,560,913.3
230,410,310,330,329.75
480,600,520,560,425.86
400,740,560,580,780.32
300,560,420,440,577.33
240,580,400,420,465.18
460,580,500,540,285.02
520,800,640,680,634.98
380,490,430,440,325.12
380,500,420,460,301.52
300,740,500,540,609.06
450,590,510,530,282.69
330,400,360,370,165.12
450,550,490,510,339.32
580,700,620,660,457.65
260,320,280,300,132.12
20,320,160,180,777.9
380,680,520,540,467.52
740,800,760,780,244.73
330,390,350,370,126.24
500,560,520,540,227.03
440,700,560,580,682.76
200,590,380,410,592.7
0,200,80,120,501.97
240,440,320,360,440.52
200,370,280,290,381.62
600,780,680,700,556.76
0,300,140,160,780.98
400,550,470,480,402.41
0,600,280,320,990.7
240,410,320,330,364.57
560,660,600,620,422.81
380,660,500,540,440.13
580,640,600,620,319.34
530,590,550,570,416.11
330,510,410,430,313.89
220,390,300,310,339.65
330,500,410,420,266.78
250,510,370,390,469.85
450,580,510,520,281.6
370,510,430,450,399.1
560,680,600,640,466.58
250,390,310,330,254.66
250,400,320,330,321.43
420,560,480,500,322.61
420,590,500,510,327.91
370,500,430,440,369.35
100,380,220,260,631.56
240,460,340,360,484.77
230,450,330,350,526.23
300,440,360,380,308.49
480,660,560,580,616.03
420,550,480,490,289.86
300,580,420,460,637.73
40,380,200,220,955.67
440,640,520,560,524.93
400,620,500,520,370.05
230,400,310,320,261.71
230,570,390,410,529.79
500,620,540,580,525.59
40,560,280,320,856.07
250,420,330,340,409.64
240,390,310,320,230.89
220,500,340,380,586.68
460,640,540,560,680.27
500,780,620,660,672.36
460,600,520,540,325.59
400,580,480,500,350.79
220,350,280,290,304.9
440,500,460,480,208.32
410,510,450,470,260.07
200,460,320,340,563.88
440,720,560,600,650.87
220,400,300,320,316.48
0,100,40,60,264.55
580,800,680,700,615.19
240,300,260,280,161.56
490,550,510,530,195.42
240,600,400,440,605.85
420,620,500,540,344
600,700,640,660,390.01
230,530,370,390,539.98
440,660,540,560,718.66
100,620,340,380,942.04
440,800,600,640,756.66
250,350,290,310,211.59
490,590,530,550,398.92
660,780,700,740,416.48
420,780,580,620,681.64
220,660,420,460,881.71
580,680,620,640,463.25
0,680,320,360,1253.8
620,680,640,660,254.94
220,420,300,340,395.28
400,460,420,440,185.44
100,780,420,460,1167.4
640,700,660,680,268.08
100,440,260,280,897.12
430,580,500,510,314.25
460,720,580,600,596.76
290,550,410,430,443.18
100,220,140,180,326.05
240,500,360,380,536.74
200,640,400,440,689.73
330,430,370,390,191.18
200,300,240,260,249.27
370,430,390,410,123.28
450,510,470,490,215.43
250,430,330,350,440.89
460,800,620,640,803.97
300,600,440,460,712.85
500,700,580,620,534.14
460,660,540,580,672.2
290,590,430,450,750.21
230,490,350,370,552.06
400,700,540,560,842.56
300,450,370,380,295.28
390,450,410,430,145.27
330,470,390,410,230.65
320,620,460,480,577.23
370,470,410,430,193.9
320,580,440,460,628.58
310,370,330,350,145.87
40,220,120,140,467.28
250,310,270,290,133.94
100,460,260,300,808.93
460,680,560,580,662.12
300,640,460,480,638.26
240,420,320,340,407.18
290,440,360,370,363
350,410,370,390,121.8
230,290,250,270,156.31
250,470,350,370,474.24
390,570,470,490,366.17
600,720,640,680,425.32
700,800,740,760,372.48
100,240,160,180,391.87
420,700,540,580,743.25
500,600,540,560,529.86
320,440,360,400,230.44
400,600,480,520,353.66
200,500,340,360,636.12
500,640,560,580,542.79
220,320,260,280,302.1
510,570,530,550,333.06
200,720,440,480,926.03
100,700,380,420,776.38
240,680,440,480,838
200,400,280,320,382.35
600,800,680,720,568.03
200,350,270,280,372.85
200,800,480,520,757.64
390,530,450,470,369.63
600,660,620,640,308.61
400,570,480,490,307.17
300,400,340,360,218.23
420,600,500,520,319.48
300,500,380,420,333.28
100,200,140,160,311.59
320,460,380,400,249.19
200,420,300,320,384.9
420,640,520,540,373.2
310,410,350,370,215.71
290,460,370,380,330.6
40,240,120,160,507.62
300,660,460,500,624.71
400,500,440,460,295.56
410,470,430,450,219.66
430,600,510,520,299.32
100,300,180,220,573.06
350,450,390,410,171.1
300,420,340,380,252.1
500,800,640,660,658.02
350,500,420,430,292.46
400,660,520,540,421.88
420,720,560,580,724.39
390,490,430,450,304.54
350,570,450,470,484.71
40,640,320,360,1107.1
320,600,440,480,601.81
500,680,580,600,513.96
400,680,520,560,625.92
100,400,240,260,701.65
290,510,390,410,373.62
300,470,380,390,304.22
430,570,490,510,326.34
310,450,370,390,261.74
680,800,720,760,430.75
290,390,330,350,234.59
200,320,240,280,317.5
350,530,430,450,521.77
470,570,510,530,240.67
