Asingh model 1
10
1
345
1
0
600	4       100.3199 
340	12      76.22278 
390	2       48.6643  
390	6       53.0075  
450	22      86.90672 
700	4       101.08561
180	4       100.97288
440	12      74.37174 
490	2       95.94015 
490	6       84.34825 
280	4       94.45499 
540	12      97.63423 
305	3       99.89936 
590	2       91.93758 
590	6       100.97659
330	14      80.50229 
380	4       44.7899  
405	3       41.60782 
690	2       91.16716 
430	14      74.15289 
690	6       101.93878
480	4       76.45729 
505	3       93.16129 
530	14      96.85056 
580	4       99.14805 
680	4       103.2106 
270	18      92.4393  
275	3       97.45281 
375	3       54.97936 
475	3       86.36268 
265	3       101.01604
365	3       77.36886 
465	3       85.48515 
255	3       100.88129
280	2       100.88619
355	3       94.89166 
380	2       60.79972 
455	3       78.78564 
480	2       89.51739 
555	3       102.14105
320	12      88.17407 
420	12      73.23736 
470	22      79.78156 
520	12      94.66174 
710	6       91.05151 
370	18      84.26666 
470	18      77.38906 
120	4       96.82061 
270	14      86.6399  
80	4       104.9574 
420	24      90.3911  
410	22      92.42122 
110	6       96.53325 
320	16      82.27612 
525	3       98.60261 
140	4       100.88482
140	8       106.20358
315	3       88.10378 
415	3       43.33399 
290	14      97.01203 
515	3       95.35795 
130	6       102.1531 
305	1       94.46568 
405	1       69.59296 
280	16      92.11238 
505	1       96.00056 
370	14      75.64269 
470	14      74.30522 
150	10      93.60704 
570	14      86.8059  
200	8       93.93257 
190	10      76.76272 
340	20      72.52347 
180	12      81.56751 
230	10      74.64926 
330	18      76.45959 
330	22      78.73377 
380	20      83.76858 
320	20      76.56223 
250	14      93.97502 
250	6       91.90762 
240	12      90.68159 
240	16      87.50118 
350	6       85.73741 
450	6       83.9549  
390	22      101.29802
240	4       99.29294 
240	8       79.0866  
550	6       90.98103 
340	4       86.54828 
340	8       88.33016 
650	6       101.38333
390	14      80.52002 
390	18      76.62121 
380	24      81.94163 
440	4       67.25452 
440	8       72.83313 
230	6       95.76037 
490	14      82.79875 
490	18      79.90169 
540	8       79.32805 
540	4       92.57971 
330	6       88.33322 
590	14      100.23788
640	4       96.94081 
640	8       98.10461 
380	16      85.91474 
740	4       103.39986
480	16      79.61651 
235	1       100.63418
260	2       101.77474
335	1       98.15322 
360	2       84.60832 
435	1       81.41792 
150	2       93.54646 
410	10      67.98641 
225	1       103.20657
460	2       82.72468 
30	2       102.63042
250	10      76.42797 
535	1       99.45098 
250	2       95.407   
510	10      96.72501 
325	1       103.74222
275	1       99.80869 
560	2       92.53295 
300	8       88.67177 
350	10      80.18275 
300	12      93.95618 
350	2       82.31409 
610	10      78.05553 
375	1       79.93335 
425	1       69.04503 
400	8       48.29671 
450	10      77.33314 
400	12      79.60221 
450	2       87.10163 
450	18      79.13348 
500	20      80.89223 
475	1       92.2846  
525	1       107.71769
240	2       97.89685 
500	8       96.72132 
550	10      81.86578 
500	12      99.73325 
550	2       97.40174 
290	10      92.2137  
575	1       102.88026
600	8       88.56006 
650	10      97.17889 
600	12      76.23639 
650	2       102.51449
390	10      60.28218 
440	20      91.08104 
750	2       95.93888 
490	10      98.81247 
280	12      96.44273 
590	10      80.87079 
295	1       103.58466
295	3       100.15457
430	18      84.67144 
430	22      87.16936 
60	4       88.51304 
395	1       71.25946 
395	3       37.86035 
530	18      95.93539 
480	20      73.62418 
495	1       100.38581
495	3       93.94838 
285	3       94.65583 
385	3       46.34035 
260	16      91.02443 
485	3       84.52017 
200	4       100.75745
300	4       89.11875 
350	14      81.01886 
400	4       38.6751  
450	14      72.48611 
550	14      91.93093 
340	16      76.39216 
440	16      75.50951 
540	16      91.05788 
170	2       96.03104 
270	2       95.33884 
370	2       70.788   
160	4       100.19997
470	2       86.39899 
260	4       102.39311
285	1       103.15736
570	2       96.62206 
310	14      88.35054 
360	4       83.27352 
620	12      87.96204 
385	1       79.65943 
670	2       100.62061
50	2       106.05785
410	14      77.99368 
460	4       88.04981 
485	1       95.4491  
770	2       96.80728 
510	14      89.43518 
560	4       100.33182
585	1       102.79983
660	4       104.28345
100	4       97.03921 
220	8       89.11735 
320	8       98.12806 
420	8       62.30557 
210	6       106.63966
520	8       79.79316 
310	6       86.3111  
620	8       90.75122 
360	16      74.92263 
410	6       34.15315 
460	16      75.2295  
510	6       82.79162 
560	16      93.48161 
610	6       96.09765 
110	2       101.87171
260	12      89.42713 
170	6       90.31055 
160	8       105.1706 
310	18      86.77559 
220	4       92.99754 
320	2       99.34194 
320	4       78.83337 
420	2       56.70335 
420	4       38.58778 
210	2       98.07756 
520	2       98.73568 
520	4       89.3648  
310	2       103.0842 
335	3       93.58162 
620	4       108.08523
360	12      69.22066 
410	2       36.18217 
435	3       58.60623 
720	4       90.79758 
460	12      80.84522 
510	2       103.11607
535	3       95.82799 
560	12      95.94605 
150	6       98.522   
325	3       72.05421 
610	2       106.42028
425	3       45.17011 
710	2       103.56053
300	16      93.82322 
90	6       100.85571
180	8       94.6721  
290	18      84.40147 
440	24      86.03784 
170	10      96.53026 
270	6       86.97289 
370	6       75.24656 
420	16      82.78739 
470	6       93.79648 
260	8       83.05034 
520	16      93.6302  
570	6       95.128   
360	8       87.09305 
210	10      82.64784 
410	18      84.64252 
670	6       93.16713 
460	8       73.64177 
510	18      82.24989 
120	8       94.26017 
360	20      76.75789 
70	2       100.42575
560	8       76.2889  
200	12      75.89436 
660	8       98.67228 
300	20      77.95731 
350	18      75.89002 
350	22      85.05429 
230	14      89.79791 
430	6       54.32347 
530	6       76.25604 
630	6       94.86992 
400	24      84.35514 
215	1       109.40954
265	1       97.86069 
315	1       101.84535
340	2       83.54014 
400	16      86.14539 
415	1       79.24925 
365	1       93.38134 
130	2       94.64916 
440	2       71.75204 
500	16      87.54714 
465	1       98.04951 
515	1       92.22778 
230	2       100.3271 
255	1       101.83924
540	2       100.4591 
280	8       82.83141 
565	1       95.41754 
330	2       91.17428 
355	1       90.68005 
380	8       61.68976 
330	10      96.7997  
380	12      68.32425 
430	2       60.87145 
455	1       93.13185 
480	8       88.231   
430	10      65.05814 
480	12      81.91371 
245	1       96.34773 
245	3       93.98249 
530	2       100.56728
270	10      80.89002 
555	1       99.69109 
580	8       91.24914 
530	10      93.91792 
580	12      82.79868 
345	1       94.07749 
345	3       84.68546 
630	2       99.53839 
